(0a 27 01 02) 372 4  (b4 7b 12 24) 380 4  752 8
(59 bb 01 02) 400 4  (a7 a9 04 08) 352 4  752 8
(28 85 01 02) 380 4  (83 a2 08 10) 372 4  752 8
(5b 76 01 02) 364 4  (4f 80 12 24) 388 4  752 8
(1d c2 01 02) 408 4  (48 08 cc 5b) 344 4  752 8
(44 52 01 02) 376 4  (9d bb 30 60) 376 4  752 8
(7f ed 01 02) 428 4  (fc c8 10 20) 324 4  752 8
(58 ca 01 02) 404 4  (c9 fd 10 20) 348 4  752 8
(ee fb 01 02) 380 4  (10 64 dc 7b) 372 4  752 8
(82 a4 01 02) 404 4  (66 10 b7 ad) 348 4  752 8
(0e a4 01 02) 380 4  (06 ce 40 80) 372 4  752 8
(30 71 01 02) 360 4  (92 48 60 c0) 392 4  752 8
(cf e6 01 02) 400 4  (0d 22 0c 18) 356 4  756 8
(56 ca 01 02) 404 4  (ac 57 02 04) 352 4  756 8
(5b fb 01 02) 344 4  (10 84 c2 47) 412 4  756 8
(15 92 01 02) 396 4  (3b 2e 18 30) 360 4  756 8
(3a 6e 01 02) 424 4  (4c 5e 20 40) 332 4  756 8
(48 61 01 02) 368 4  (e6 c9 0c 18) 388 4  756 8
